,"La siguiente línea de precios aplica para POSADAS AL RÍO (incluye valor de lotes). En otros desarrollos consultar su vigencia, cupos y condiciones)",,,,,,,,,,,,,,,,"PLAN DE VENTA DENTRO DEL FIDEICOMISO CON ""CUPOS"" DE ENTREGA PROGRAMADA - ANTICIPO FLEXIBLE DEL 25% - SALDO 100% FINANCIADO BANCO + DESARROLLADOR",,,PROMOCIÓN PAGO CONTADO SOBRE PRECIO DE LISTA DENTRO DEL FIDEICOMISO/CUPO - APLICABLE A TODOS LOS MODELOS - SALDO 100% FINANCIADO BANCO + DESARROLLADOR,,,PLAN DE VENTA ESPECIAL PRECIO DE POZO DENTRO DEL FIDEICOMISO -  ANTICIPO FLEXIBLE DEL 35% Y AHORRO 35% SOBRE EL COSTO TOTAL (% anticipo = % descuento - Tope 35%). ,,
LÍNEA,NOMBRE,SKU,SISTEMA C.,Estilo,Tipología,Variante,M2 CUBIER.,M2 SEMIC.,Plantas,Dorm.,Baños,Toilette,Lavadero,Parrilla,COSTO PLANO,OFERTA,PRECIO LISTA,PRECIO / M2,ANTICIPO,PRECIO CONTADO,PRECIO / M2,ANTICIPO,PRECIO POZO,PRECIO / M2,ANTICIPO
,ESCANDINAVIA,,WOOD FRAMING PLUS,Nórdico,1,,"55,8",,1,2,1,0,Ext.,Si,$76.725,Lote + Casa + Guardería,"$88.233,75",$1.581,$22.058,"$79.410,38",$1.423,$79.410,"$65.358,33",$1.171,$22.875
,ESCANDINAVIA,,WOOD FRAMING PLUS,Nórdico,1,,"73,9",,1,3,1,1,Ext.,Si,$101.613,Lote + Casa + Guardería,"$116.854,38",$1.581,$29.214,"$105.168,94",$1.423,$105.169,"$86.558,80",$1.171,$30.296
,ESCANDINAVIA,,WOOD FRAMING PLUS,Nórdico,1,,"82,4",,1,4,1,1,Ext.,Si,$113.300,Lote + Casa + Guardería,"$130.295,00",$1.581,$32.574,"$117.265,50",$1.423,$117.266,"$96.514,81",$1.171,$33.780
,ESCANDINAVIA,,WOOD FRAMING PLUS,Nórdico,1,,"85,5",,1,4,2,0,Ext.,Si,$117.563,Lote + Casa + Guardería,"$135.196,88",$1.581,$33.799,"$121.677,19",$1.423,$121.677,"$100.145,83",$1.171,$35.051
,LANCASTER ,,WOOD FRAMING PLUS,Industrial,1,,40,,1,1,1,0,Ext.,Si,$55.000,Lote + Casa + Guardería,"$63.250,00",$1.581,$15.813,"$56.925,00",$1.423,$56.925,"$46.851,85",$1.171,$16.398
,LANCASTER ,,WOOD FRAMING PLUS,Industrial,1,,"55,8",,1,2,1,0,Ext.,Si,$76.725,Lote + Casa + Guardería,"$88.233,75",$1.581,$22.058,"$79.410,38",$1.423,$79.410,"$65.358,33",$1.171,$22.875
,LANCASTER ,,WOOD FRAMING PLUS,Industrial,1,,"73,9",,1,3,1,1,Ext.,Si,$101.613,Lote + Casa + Guardería,"$116.854,38",$1.581,$29.214,"$105.168,94",$1.423,$105.169,"$86.558,80",$1.171,$30.296
,LANCASTER ,,WOOD FRAMING PLUS,Industrial,1,,"82,4",,1,4,31/12,1,Ext.,Si,$113.300,Lote + Casa + Guardería,"$130.295,00",$1.581,$32.574,"$117.265,50",$1.423,$117.266,"$96.514,81",$1.171,$33.780
,LANCASTER ,,WOOD FRAMING PLUS,Industrial,1,,"85,5",,1,4,2,0,Ext.,Si,$117.563,Lote + Casa + Guardería,"$135.196,88",$1.581,$33.799,"$121.677,19",$1.423,$121.677,"$100.145,83",$1.171,$35.051
,PATAGONIA,,WOOD FRAMING PLUS,Chalet,1,,40,,1,1,31/12,0,Ext.,Si,$55.000,Lote + Casa + Guardería,"$63.250,00",$1.581,$15.813,"$56.925,00",$1.423,$56.925,"$46.851,85",$1.171,$16.398
,PATAGONIA,,WOOD FRAMING PLUS,Chalet,1,,"55,8",,1,2,1,0,Ext.,Si,$76.725,Lote + Casa + Guardería,"$88.233,75",$1.581,$22.058,"$79.410,38",$1.423,$79.410,"$65.358,33",$1.171,$22.875
,PATAGONIA,,WOOD FRAMING PLUS,Chalet,1,,"73,9",,1,3,31/12,1,Ext.,Si,$101.613,Lote + Casa + Guardería,"$116.854,38",$1.581,$29.214,"$105.168,94",$1.423,$105.169,"$86.558,80",$1.171,$30.296
,PATAGONIA,,WOOD FRAMING PLUS,Chalet,1,,"82,4",,1,4,1,1,Ext.,Si,$113.300,Lote + Casa + Guardería,"$130.295,00",$1.581,$32.574,"$117.265,50",$1.423,$117.266,"$96.514,81",$1.171,$33.780
,PATAGONIA,,WOOD FRAMING PLUS,Chalet,1,,"85,5",,1,4,2,0,Ext.,Si,$117.563,Lote + Casa + Guardería,"$135.196,88",$1.581,$33.799,"$121.677,19",$1.423,$121.677,"$100.145,83",$1.171,$35.051
,CALIFORNIA,,WOOD FRAMING PLUS,Moderno,1,,40,,1,1,1,0,Ext.,Si,$55.000,Lote + Casa + Guardería,"$63.250,00",$1.581,$15.813,"$56.925,00",$1.423,$56.925,"$46.851,85",$1.171,$16.398
,CALIFORNIA,,WOOD FRAMING PLUS,Moderno,1,,"55,8",,1,2,1,0,Ext.,Si,$76.725,Lote + Casa + Guardería,"$88.233,75",$1.581,$22.058,"$79.410,38",$1.423,$79.410,"$65.358,33",$1.171,$22.875
